fec_name,website
PatrickAHope,https://hopeforvirginia.org
AdeleYMcClure,https://AdeleforVa.com
AlfonsoHLopez,https://www.alfonsolopez.org
CharnieleLHerring,https://charnieleherring.com
ElizabethBBennett-Parker,https://www.elizabethfordelegate.com
RichardCRipSullivanJr,https://ripsullivan.com
KarenAKeys-Gamarra,https://karenkeysgamarra.com
KarrieKDelaney,https://www.karriedelaney.com
NhanCHuynh,https://huynhforvirginia.com
DanIHelmer,https://www.danhelmer.com
JamesAThomasJr,https://www.thomasforvirginia.com
DavidLBulova,http://www.davidbulova.com
HollyMSeibold,https://www.hollyseibold.com
MarcusBSimon,https://www.marcussimon.com
DaveACranceJr,https://www.dave4va.com
VivianEWatts,https://vivianwatts.com
PaulEKrizek,https://www.paulkrizek.com
MarkDSickles,https://marksickles.com
KathyKLTran,https://www.kathyfordelegate.com
RoziaAJRHensonJr,https://www.Henson4VA.com
Michelle-AnnELopesMaldonado,http://michelle4va.com
TravisSNembhard,https://nembhardforvirginia.com
IanTravisLovejoy,https://votelovejoy.com
JamesVTully,https://tullyforvirginia.com
LukeETorian,https://www.delegatetorian.com
KannanSrinivasan,https://kannanfordelegate.com
AtoosaRReaser,https://atoosareaser.com
FernandoJMartyMartinez,https://martyfordelegate.com
RobertLRobBanseJr,https://robbanse.com
GearyMHiggins,https://www.gearyhiggins.com
DeloresROates,https://www.deloresfordelegate.com
MadelynMadyRodriguez,https://www.madyforvirginia.com
WilliamDBillWiley,https://electbillwiley.com
CToddGilbert,https://delegatetoddgilbert.com
ChrisSRunion,https://chrisrunion.com
SSamRasoul,https://sam4va.com
WilliamPDavis,https://davisfordelegate.com
JosephPJoeMcNamara,https://joeforva.com
LillianVFranklin,https://lilyfordelegate.com
JChristianChrisObenshain,https://www.obenshainfordelegate.com
JasonSBallard,https://ballardfordelegate.com
TerryGKilgore,https://delegatekilgore.com
WrenMWilliams,https://wrenwilliamsva.com
LesRAdams,https://lesadams.org
JenniferKWoofter,https://www.jenniferwoofterfordelegate.com
WendellSWalker,https://www.wendellwalker.org
KatrinaECallsen,https://katrinacallsen.com
DavidLOwen,https://votedavidowen.com
RodneyTWillett,https://www.rodwillett.com
RachelALevy,https://rachelfordelegate.org
HFBuddyFowlerJr,https://www.buddyfowler.com
SaraHRatcliffe,https://saraforva.com
NickJFreitas,https://nickforva.com
PhillipAPhilScott,https://www.philscottva.com
JoshuaGCole,https://www.jgcole.org
MattJWaters,https://www.mattwaters.com
AmandaEBatten,https://www.amandabatten.com
RLeeWareJr,https://delegateleeware.net
MarkLEarleyJr,https://markearleyforva.com
StephenCMiller-PittsJr,https://www.millerpitts4va.com
CarrieEmersonCoyner,https://rudycoyner.com
BetsyBCarr,https://betsycarr.org
RaeCCousins,https://www.raecousins.com
DestinyLLevereBolling,https://destinyforvirginia.com
DeloresLMcQuinn,https://deloresmcquinn.net
KimberlyPopeAdams,https://kimadamsforva.com
KimATaylor,https://kimtaylorva.com
HOttoWachsmannJr,https://ottowachsmann.com
NadariusEClark,https://clarkfordelegate.com
MichaelJDillender,https://mikedillenderva.com
MarciaSCiaPrice,https://www.PriceforDelegate.com
ACCordoza,https://cordozaforvirginia.com
JeionAWard,https://jeionward.com
DonLScottJr,https://leaderdonscott.com
JeremyDRodden,https://www.jeremyrodden.com
JamesAJayLeftwichJr,https://www.jayleftwich.com
CECliffHayesJr,https://cliffhayes.com
BonitaGraceAnthony,https://www.bonitaforva.com
JackieHopeGlass,https://delegatejackieglass.com
JohnSitkaIII,https://sitkafordelegate.com
PhilMHernandez,https://www.philforvirginia.com
AndrewBAndyPittman,https://andyfornorfolk.com
AlexQAskew,https://alexaskew.com
NicholasSOlenik,https://olenik.us
MichaelCKarslake,https://www.mikekarslake.com
MichaelBFeggans,https://michaelfeggans.com
CatAPorterfield,https://catporterfield.com
AnneFerrellTata,https://teamtata.org
RobertSBloxomJr,https://robbloxom100.com
EmilyGScott,https://scottforstatesenate.org
ChristopherTHead,http://chrisheadva.com
PATrishWhite-Boyd,https://trishwhite-boyd.com
TTravisHackworth,https://www.travishackworth.com
ToddEPillion,https://www.toddpillion.com
DeborahIRenieGates,https://www.friendsofreniegates.com
WilliamMBillStanleyJr,https://stanleyforsenate.com
MarkJPeake,https://peakeforsenate.com
FrankMRuffJr,https://senatorfrankruff.com
JohnJMcGuireIII,https://mcguireforvirginia.com
RCreighDeeds,https://www.senatordeeds.com
LashrecseDAird,https://lashrecseaird.com
EricFDitri,https://ericditri.com
LamontBagby,https://lamontbagby.org
SchuylerTVanValkenburg,https://vanvalkenburg4va.com
AnthonyWTonyGoodwin,https://www.agoodwinforportsmouth.com
VictoriaALuevanos,http://victorialuevanos.com
WilliamRBillDeSteph,https://www.billdesteph.com
AngeliaWilliamsGraves,http://angeliawilliamsgraves.com
AaronRRouse,https://rouseforsenate.com
MamieELocke,https://www.senatorlocke.com
JDDannyDiggs,https://www.diggsforsenate.com
JoliciaAWard,https://www.joliciaforva.org
RichardHStuart,https://www.stuartforsenate.com
BryceEReeves,https://www.brycereeves.com
GregoryJMoulthrop,https://gregmoulthrop.com
JenniferDCarrollFoy,https://jennifercarrollfoy.com
DavidWMarsden,https://marsdenforsenate.nationbuilder.com
MarkBVafiades,https://markforva.com
StellaGPekarsky,https://stellapekarsky.com
JulieAnnaPerry,https://julieforsenate.com
SaddamAzlanSalim,https://salimforsenate.com
AdamPEbbin,https://www.adamebbin.com
BarbaraAFavola,https://www.barbarafavola.org
KristinLHoffman,https://kristin4delegate.org/
IreneShin,https://www.ireneforva.com/
MaxBFisher,https://www.maxfisherforvirginia.com/home
TerryLAustin,https://www.delegateterryaustin.com/
PatriciaLynnQuesenberry,https://www.quesenberryforvirginia.com/platform
EricRZehr,https://www.zehrfordelegate.org/
LarryJJackson,https://www.friendsoflarryjackson.com/
MarkJLux,https://www.luxforvirginia.com/
JohnQSmith,https://www.johnqforva.org/
HillaryPughKent,https://www.hillarypughkentva.com/
DebraDGardner,https://debragardnerfordelegate.com/
DucMTruong,https://www.ducforvirginia.com/
KarenLJenkins,https://karenforvirginia.com/
KarenSGreenhalgh,https://karengreenhalgh.com/
JoshuaJHuffman,https://principlesbeforeparty.com/
PhilipAHamilton,https://www.hamiltonforvasenate.com/
NatanDMcKenzie,https://natanmckenzieforva12.com/
DouglassHaydenFisher,https://www.haydenfisherforvirginia.com/
LLouiseLucas,https://www.senatorlouiselucas.com/
ChristieNewCraig,https://christienewcraig.com/
JasonAFord,https://fordforva.com/
RussetWPerry,https://russetperry.com/
DavidAHenshaw,https://www.henshaw4va.com/
